RO ID,Outlet Name,Display Name,Address Line 1,Address Line 2,City / Town,District,State / UT,State ISO,Pincode,Full Formatted Address,Phone / Mobile,Email Address,Latitude,Longitude,Fuels Available,Amenities,Extracted At
0000206902,BOD acc GOMTU BHUTAL OIL DISTRIBUTORS,BOD acc GOMTU BHUTAL OIL DISTRIBUTORS,,,GOMTU,,,,22014,", , GOMTU, , 22014, Bhutan",,,26.819416,89.186981,,Air_Filling,2026-09-02 16:40:18
0000206903,BOD acc SAMTSE BHUTAN OIL DISTRIBUTORS,BOD acc SAMTSE BHUTAN OIL DISTRIBUTORS,,,SAMTSE,,,,22104,", , SAMTSE, , 22104, Bhutan",,,25.454772,89.92561,,Air_Filling,2026-09-02 16:38:17
0000149279,DAMCHEN PETROLEUM DISTRIBUTORS BHARAT PETROLEUM DEALERS,DAMCHEN PETROLEUM DISTRIBUTORS BHARAT PETROLEUM DEALERS,"PHUENTSHOLING, POST BOX: 11",,PHUENTSHOLING,BHUTAN,,,000011,"PHUENTSHOLING, POST BOX: 11, , PHUENTSHOLING, BHUTAN, 000011, Bhutan",,damchen149279@bpclretail.in,26.847353,89.383392,,Air_Filling,2026-09-02 16:40:18
0000196143,DPCL PHUENTSHOLING DPCL acc PHUENTSHOLING,DPCL PHUENTSHOLING DPCL acc PHUENTSHOLING,UPPER PHUENTSHOLING,,PHUENTSHOLING,CHUKHA,,,21101,"UPPER PHUENTSHOLING, , PHUENTSHOLING, CHUKHA, 21101, Bhutan",,chongsinghlepcha@gmail.com,26.860293,89.393793,,"Pure_Sure, Air_Filling, TWO_FOUR_SEVEN",2026-09-02 16:40:18
0000165342,DAMCHEN PETRO A/C GELEPHU BHARAT PETROLEUM DEALERS,DAMCHEN PETRO A/C GELEPHU BHARAT PETROLEUM DEALERS,"GELEPHU, BHUTAN",,GELEPHU,"EASTERN, BHUTAN",,,000000,"GELEPHU, BHUTAN, , GELEPHU, EASTERN, BHUTAN, 000000, Bhutan",,damchen165342@bpclretail.in,22.4273283,88.0104094,,"Pure_Sure, Air_Filling, TWO_FOUR_SEVEN",2026-09-02 16:23:40
0000120043,BHUTAN OIL DISTRIBUTORS A/C PH BHARAT PETROLEUM DEALERS,BHUTAN OIL DISTRIBUTORS A/C PH BHARAT PETROLEUM DEALERS,P.O. PHUNTSOLING,BHUTAN,PHUENTSHOLING,PHUENTSHOLING,,,000078,"P.O. PHUNTSOLING, BHUTAN, PHUENTSHOLING, PHUENTSHOLING, 000078, Bhutan",,birenl.bod@gmail.com,26.867508,89.382365,,"Pure_Sure, Air_Filling, TWO_FOUR_SEVEN",2026-09-02 16:40:18
0000228363,SRI LAKSHMI THANUJA FILLING ST BHARAT PETROLEUM DEALERS,SRI LAKSHMI THANUJA FILLING ST BHARAT PETROLEUM DEALERS,RAJAHMUNDRY TO BHADRACHALAM ROAD,SH-41,CHINTURU,ALLURI SITHARAMA RAJ,Andhra Pradesh,IN-11,533107,"RAJAHMUNDRY TO BHADRACHALAM ROAD, SH-41, CHINTURU, ALLURI SITHARAMA RAJ, 533107, India",9493541083,cc228363@bpclretail.in,17.74503,81.39704,"DIESEL, PETROL","Pure_Sure, Air_Filling, TWO_FOUR_SEVEN",2026-09-02 16:28:35
0000254024,JAI BAJARANGABALI FILLING STAT BHARAT PETROLEUM DEALERS,JAI BAJARANGABALI FILLING STAT BHARAT PETROLEUM DEALERS,DASARIPUTTU,JERRELA PANCHAYAT,DASARIPUTTU VILLAGE,ALLURI SITHARAMA RAJ,Andhra Pradesh,IN-11,531040,"DASARIPUTTU, JERRELA PANCHAYAT, DASARIPUTTU VILLAGE, ALLURI SITHARAMA RAJ, 531040, India",6303445500,cc254024@bpclretail.in,18.3575,82.5166667,"DIESEL, PETROL","Pure_Sure, Air_Filling, TWO_FOUR_SEVEN",2026-09-02 16:29:08
0000228804,MAHADEV FILLING STATION BHARAT PETROLEUM DEALERS,MAHADEV FILLING STATION BHARAT PETROLEUM DEALERS,"SY.NO 47/2, MAREDUMILLI VILLAGE",MAREDUMILLI,MAREDUMILLI,ALLURI SITHARAMA RAJ,Andhra Pradesh,IN-11,533295,"SY.NO 47/2, MAREDUMILLI VILLAGE, MAREDUMILLI, MAREDUMILLI, ALLURI SITHARAMA RAJ, 533295, India",9491811666,mahadev228804@bpclretail.in,17.5899,81.7146,"DIESEL, PETROL","Pure_Sure, Air_Filling, TWO_FOUR_SEVEN",2026-09-02 16:28:19
0000181158,WASIM & CO BHARAT PETROLEUM DEALERS,WASIM & CO BHARAT PETROLEUM DEALERS,R.S. NO.13/3,ANTAGIRI MANDAL,MULYAGUDA,ALLURI SITHARAMA RAJ,Andhra Pradesh,IN-11,535145,"R.S. NO.13/3, ANTAGIRI MANDAL, MULYAGUDA, ALLURI SITHARAMA RAJ, 535145, India",8985652956,wasim&181158@bpclretail.in,18.239216,83.029254,"DIESEL, PETROL","Automation, Pure_Sure, Air_Filling, TWO_FOUR_SEVEN",2026-09-02 16:28:53
