Station Code,Station / Dealership Name,Full Address,Village / Locality,Taluka / Tehsil,District / City,State / UT,Pincode,Latitude,Longitude,EFP Status,Petrol Price (₹/L),Diesel Price (₹/L),Extracted At
55934XA934,A.R.S Petroleum,"Survey No. 416/7A, Kannanur Village, Kalkulam Taluk, Kanyakumari district, Tamil Nadu",Kannanur,,,,,8.291625,77.296044,NO,109.24,100.8,2026-09-03 11:56:00
57898XA898,Ambika Fuels,"Survey No. 508/1B, Kumarapuram Village Kalkulam Taluk   Kanyakumari  Kanyakumari,629166",Kanyakumari,,,,629166,8.27945,77.323079,YES,109.2,100.74,2026-09-03 11:56:00
55116XA116,An Petroleum,"AN Petroleum,Iravipudur Village,Kanyakumari District",Iraviputhur,,,,,8.152898,77.490123,NO,108.9,100.44,2026-09-03 11:56:00
55307XA307,Bagya Fuel Point,"Thirkkurungudi Village, Valliyur Taluk,Dist.Tirunelveli",Tirukkurungudi,,,,,8.434867,77.561668,NO,113.69,103.05,2026-09-03 11:56:00
55835XA835,Daniel Petroleum,"Survey No:20/10&24/1A, Thumbakodu Village, Kalkulam Taluka, Kanyakumari, Tamil Nadu",Thumbakodu,,,,,8.387348,77.281555,NO,109.15,100.69,2026-09-03 11:56:00
55830XA830,George Fuels,"Survey No: 2122A/3A1,Nanguneri Union,Moolakaraipatti Town Panchayat,Nanguneri, Tirunelveli District,Tamilnadu",Nanguneri Union,,,,,8.538756,77.775534,NO,108.45,99.98,2026-09-03 11:56:00
57472XA472,J B Fuels,"Vizhinjam Trivandrum   Trivandrum  Trivandrum,695521",Trivandrum,,,,695521,8.38291,77.002923,YES,115.8,104.41,2026-09-03 10:40:46
57766XA766,Kamala Fuels,"Re Sy No: 446/11-2, Block No.14 Mukkola, Vizhinjam - Village Neyyattinkara  Thiruvananthapuram  Thiruvananthapuram,695521",Thiruvananthapuram,,,,695521,8.388196,77.012083,YES,115.8,104.41,2026-09-03 10:40:46
56036XA036,Mary Fuels,"Survey No: 377/2, 377/3B,377/5, Rajakkalmangalam Village, Nanguneri Taluka, Tirunelveli District, Tamil Nadu",Rajakkalmangalam,,,,,8.4505964,77.6501012,NO,101.43,92.79,2026-09-03 11:56:00
57489XA489,Moolayil Fuels,"Re-Sy No. 65/6, 65/9, 66/5 & 66/4, Block No. 32, Pin Code: 695615.",Thiruvananthapuram,,,,695615,8.3744,76.57372,YES,115.68,104.21,2026-09-03 10:40:46
55667XA667,Palaiahmanuvel Petroleum,"Survey No.441/1B, Kadamboduvalvu Village, Nanguneri Taluk, Tirunelveli District, Tamil Nadu",Kadamboduvalvu,,,,,8.5060525,77.6018643,YES,108.59,100.15,2026-09-03 11:56:00
55932XA932,RR Venkadesh Petroleum,"Survey No: A2/129 Vilavancode Village,Vilavancode Taluka, Kanyakumari District, Tamil Nadu.",Vilavancode,,,,,8.319277,77.196957,NO,109.28,100.81,2026-09-03 11:56:00
55485XA485,Raja Fuels,"S.No.508/1, Kumarapuram Village, Kalkulam Taluka, Kanyakumari district, Tamilnadu.",Meadavilat,,,,,8.27945,77.323079,NO,109.15,100.69,2026-09-03 11:56:00
56428XA428,Ranjetam Agency,"Survey No: 1181A/2, Vijayanarayanam Village, Nanguneri Taluka, Tirunelveli District, Tamil Nadu",Vijayanarayanam,,,,,8.404179,77.759134,NO,108.84,100.39,2026-09-03 11:56:00
56128XA128,Rose Fuel Station,"Survey No.458/2, North Valiyoor Village, Radhapuram Taluk, Tirunelveli District, Tamil nadu",North Valliyoor,,,,,8.375492,77.621697,NO,108.63,100.19,2026-09-03 11:56:00
57299XA299,S K Fuels,"Re-Sy No. 262/12, 262/12-1, Pin Code:",Maranalloor,,,,,8.4671218,77.0761128,YES,115.79,104.41,2026-09-03 11:56:00
55973XA973,Shanu Fuels,"Block.No.7,Survey No.398/18,398/8-2,398/8-4,Malayinkeezhu-Village,Kattakkada-Taluka,ThiruvananthapuramDistrict, Kerala-State",Malayinkeezhu,,,,,8.477893,77.0471691,NO,115.99,104.47,2026-09-03 11:56:00
56125XA125,Sri Karpaga Vinayaga Petroleum,"Survey No: 516, Madhusoodhanapuram Village, Agasteeswaram Taluka, Kanyakumari District, Tamil Nadu",Madhusoodhanapuram,,,,,8.139867,77.449968,YES,108.98,100.49,2026-09-03 11:56:00
57410XA410,Sweet Jesus Fuels,"S.No. 319/3A2B, Thiruvambalapuram Village Radhapuram Taluk, Tirunelveli District, Tamil Nadu",Tirunelveli,,,,,8.24514,77.79275,YES,108.84,100.39,2026-09-03 11:56:00
55880XA880,Thangam Fuel Station,"Survey No: 1603/2A2 & 1603/2B & 1604/1A Keelapavoor Village Alankulam taluk Tirunelveli District, Tamil Nadu",Keelapavoor,,,,,8.2896373,77.1097755,NO,108.61,100.16,2026-09-03 11:56:00
57885XA885,VIP Petroleum,"Survey No. 516/2(Part) Madhusoodhanapuram Village Agasteeswaram Taluka  Kanyakumari  Kanyakumari,629601",Kanyakumari,,,,629601,8.139878,77.449951,YES,109.03,100.55,2026-09-03 11:56:00
56491XA491,VRSM Group-Fuels,"Survey No: 902/1B, Madhusoodhanapuram Village, Agateeswaram Taluka, Kanyakumari District, Tamil Nadu",MADHUSOODHANAPURAM SOUTH,,,,,8.181578,77.370739,YES,108.99,100.53,2026-09-03 11:56:00
57124XA124,S S Fuels,"Servey.No.245/17-1,8-1.25/1,9-2-1,Block.No.7,Malayinkeezhu-Village,Kattakkada-Taluk, Thiruvanthapuram-Dist-Kerala-State",Malayinkeezhu,,Kerala-State,,,8.497131,77.0501192,YES,115.99,104.47,2026-09-03 11:56:00
