Station ID,Brand Name,Dealership Name,State / UT,District / City,Locality / Area,Street Address,Pincode,Latitude,Longitude,Phone / Contact,Rating,Reviews,Website URL,Extracted At
524070,Jio-bp,Arihant Fuels,Chhattisgarh,Bemetara,Bemetara,"Khasra No 195/4, Bemetara, Deverbija, Ghotmarra, Berla",,21.66538,81.431289,,5.0,10,https://mobilitystation.jiobp.com/jio-bp-arihant-fuels-petrol-pump-berla-bemetara-524070/Home,2026-09-03 10:39:55
524124,Jio-bp,A3 Energy,Gujarat,Surat,Surat,"Survey No 578, Valod Buhari Road, Tapi, Golan, Vyara",,20.997643,73.29303,,5.0,10,https://mobilitystation.jiobp.com/jio-bp-a3-energy-petrol-pump-vyara-surat-524124/Home,2026-09-03 10:39:44
524016,Jio-bp,A R Filling Station,Haryana,Kaithal,Kaithal,"Khasra No 93/15, 16/1, 6/2, Kaithal Road, Sh 11, Cheeka, Patti Afgan",,29.833062,76.379664,,5.0,10,https://mobilitystation.jiobp.com/jio-bp-a-r-filling-station-petrol-pump-patti-afgan-kaithal-524016/Home,2026-09-03 10:39:40
343209,Jio-bp,,Kerala,Ernakulam,Ernakulam,"No 14/42Q, Pulinchodu Junction, Kunnathunad, Kadayirippu, Pazhamthottam",,10.0092706,76.4422267,,5.0,10,https://mobilitystation.jiobp.com/jio-bp-alm-mobility-services-diesel-fuel-supplier-pazhamthottam-ernakulam-343209/Home,2026-09-03 10:39:42
515943,Jio-bp,Akkara Fuels,Kerala,Malappuram,"Kondotty, Malappuram","No 15/118/C, Sy No 119",,11.1369444,75.9841667,,5.0,10,https://mobilitystation.jiobp.com/jio-bp-akkara-fuels-petrol-pump-kondotty-malappuram-515943/Home,2026-09-03 10:39:42
353120,Jio-bp,,Kerala,Malappuram,Malappuram,"No 168/3, Iruvetti, Kavanur, Chengara",,11.162105,76.079926,,5.0,10,https://mobilitystation.jiobp.com/jio-bp-aminas-petroleum-diesel-fuel-supplier-chengara-malappuram-353120/Home,2026-09-03 10:39:49
524076,Jio-bp,Ajs Filling Station,Madhya Pradesh,Ashok Nagar,Ashok Nagar,"Survey No 416/1/1/2/3 & 435/3/1, Jail Tank Road, Ward No 14, Mungaoli",,24.413503,78.09213,,5.0,10,https://mobilitystation.jiobp.com/jio-bp-ajs-filling-station-petrol-pump-mungaoli-ashok-nagar-524076/Home,2026-09-03 10:39:41
523978,Jio-bp,Aastha Enterprises,Madhya Pradesh,Ratlam,Ratlam,"Khasra No 98/2/3/2, Sejawata, Jaora",,23.630327,75.148009,,5.0,10,https://mobilitystation.jiobp.com/jio-bp-aastha-enterprises-petrol-pump-jaora-ratlam-523978/Home,2026-09-03 10:39:41
524093,Jio-bp,Amit Petroleum,Maharashtra,Yavatmal,Yavatmal,"Gat No 32 & 1, Ground Floor, National Highway, Pimpari Road",,20.12367,78.60864,,5.0,10,https://mobilitystation.jiobp.com/jio-bp-amit-petroleum-petrol-pump-pimpari-road-yavatmal-524093/Home,2026-09-03 10:39:42
524040,Jio-bp,Anshika Filling Station,Odisha,Ganjam,Ganjam,"No 1102/290, Polasara, Mathura",,19.6525179,84.8373738,,5.0,10,https://mobilitystation.jiobp.com/jio-bp-anshika-filling-station-petrol-pump-mathura-ganjam-524040/Home,2026-09-03 10:39:43
524041,Jio-bp,Aay Ess Petro World,Punjab,Patiala,Patiala,"Khasra No 214 & 215, Khatauni No 108, Khewat No 66/101, Khalawar",,30.507534,76.724487,,5.0,10,https://mobilitystation.jiobp.com/jio-bp-aay-ess-petro-world-petrol-pump-khalawar-patiala-524041/Home,2026-09-03 10:39:41
510254,Jio-bp,Anjani Enterprises,Telangana,Hyderabad,Hyderabad,"Sy No 142/E, Ghatkesar Road, Rampalli",,17.464887,78.646353,,5.0,10,https://mobilitystation.jiobp.com/jio-bp-anjani-enterprises-petrol-pump-rampalli-hyderabad-510254/Home,2026-09-03 10:39:43
