Station ID,Station / Location Name,Brand,District / Area,State,Diesel Price (₹/L),Petrol Price (₹/L),Original Portal Location Text,Extracted At
MRPL-KA-039,Begur (Bangalore Urban),MRPL HiQ,,Karnataka,90.99,102.91,Begur (Bangalore Urban),2026-09-03 13:28:15
MRPL-KA-008,Cargo Gate,MRPL HiQ,,Karnataka,90.2,102.08,Cargo Gate,2026-09-03 13:28:15
MRPL-KA-111,Chikkaballapur,MRPL HiQ,,Karnataka,91.05,102.98,Chikkaballapur,2026-09-03 13:28:15
MRPL-KA-021,Gottigere (Bangalore Urban),MRPL HiQ,,Karnataka,90.98,102.9,Gottigere (Bangalore Urban),2026-09-03 13:28:15
MRPL-KA-016,Hosapalya,MRPL HiQ,,Karnataka,91.14,103.07,Hosapalya,2026-09-03 13:28:15
MRPL-KA-007,Hubli,MRPL HiQ,,Karnataka,90.81,102.68,Hubli,2026-09-03 13:28:15
MRPL-KA-012,Kadri,MRPL HiQ,,Karnataka,90.2,102.08,Kadri,2026-09-03 13:28:15
MRPL-KA-023,Kattihosahalli (Bangalore Rural),MRPL HiQ,,Karnataka,91.23,103.18,Kattihosahalli (Bangalore Rural),2026-09-03 13:28:15
MRPL-KA-006,Maddur,MRPL HiQ,,Karnataka,91.02,102.94,Maddur,2026-09-03 13:28:15
MRPL-KA-011,Mandya,MRPL HiQ,,Karnataka,90.85,102.75,Mandya,2026-09-03 13:28:15
MRPL-KA-015,Medahalli,MRPL HiQ,,Karnataka,90.99,102.91,Medahalli,2026-09-03 13:28:15
MRPL-KA-014,Panambur,MRPL HiQ,,Karnataka,90.2,102.08,Panambur,2026-09-03 13:28:15
MRPL-KA-022,Rajrajeshwari Nagar(Bangalore Urban),MRPL HiQ,,Karnataka,90.99,102.91,RajRajeshwari Nagar(Bangalore Urban),2026-09-03 13:28:15
MRPL-KA-069,Vijayapura,MRPL HiQ,,Karnataka,90.81,102.69,Vijayapura,2026-09-03 13:28:15
MRPL-KA-024,Visveshwaraya Layout,MRPL HiQ,,Karnataka,90.98,102.9,Visveshwaraya Layout,2026-09-03 13:28:15
MRPL-KA-123,Albal -Jamkhandi,MRPL HiQ,Bagalkot,Karnataka,0.0,0.0,"Albal -Jamkhandi ,Bagalkot",2026-09-03 13:28:15
MRPL-KA-093,Badagandi-Bilagi,MRPL HiQ,Bagalkot,Karnataka,91.33,103.26,"Badagandi-Bilagi, Bagalkot",2026-09-03 13:28:15
MRPL-KA-080,Budni-Mahalingpur,MRPL HiQ,Bagalkot,Karnataka,91.58,103.54,"Budni-Mahalingpur, Bagalkot",2026-09-03 13:28:15
MRPL-KA-050,Attibele,MRPL HiQ,Bangalore,Karnataka,90.99,102.91,"Attibele,Bangalore",2026-09-03 13:28:15
MRPL-KA-049,Doddaladmara,MRPL HiQ,Bangalore,Karnataka,90.98,102.9,"Doddaladmara, Bangalore",2026-09-03 13:28:15
MRPL-KA-059,Magadi Road,MRPL HiQ,Bangalore,Karnataka,91.05,102.97,"Magadi Road, Bangalore",2026-09-03 13:28:15
MRPL-KA-058,Mvit Cross,MRPL HiQ,Bangalore,Karnataka,90.99,102.91,"MVIT cross, Bangalore",2026-09-03 13:28:15
MRPL-KA-031,Rajankunte,MRPL HiQ,Bangalore,Karnataka,90.98,102.9,"Rajankunte, Bangalore",2026-09-03 13:28:15
MRPL-KA-072,Nagarbhavi,MRPL HiQ,Bangalore  Urban,Karnataka,90.98,102.9,"Nagarbhavi ,Bangalore  Urban",2026-09-03 13:28:15
MRPL-KA-084,Devanahalli,MRPL HiQ,Bangalore Rural,Karnataka,90.88,102.79,"Devanahalli, Bangalore Rural",2026-09-03 13:28:15
MRPL-KA-115,Nelamangala,MRPL HiQ,Bangalore Rural,Karnataka,91.11,103.05,"Nelamangala,Bangalore Rural",2026-09-03 13:28:15
MRPL-KA-041,Hesarghatta,MRPL HiQ,Bangalore Urban,Karnataka,90.98,102.9,"Hesarghatta, Bangalore Urban",2026-09-03 13:28:15
