CMS Station Code,Station / Dealership Name,Full Address,Village / Locality,Taluka / Tehsil,District / City,State / UT,Pincode,Latitude,Longitude,EFP Status,Petrol Price (₹/L),Diesel Price (₹/L),Extracted At
48234TA234,1011 Energies,"Block No. 20/1/B, Survey No. 18 Paiki Village. Dumbhal, Taluka. Udhna T.P.S. No. 33, F.P. No. 37, O.P. No. 19  Surat  Surat,395007",Surat,,,,395007,21.1865182,72.8552895,YES,101.94,97.76,2026-09-03 12:17:18
48037TA037,24 Petroleum,"Gut No. 62/3, Village. Patas Taluka. Daund   Pune  Pune,412219",Pune,,,,412219,18.046023,74.7859,YES,112.07,98.41,2026-09-03 12:14:57
52178NA178,27 MILES,"Bhanjal, Maira Nagar, Dist Una",Una,,,,,31.7275,76.058,YES,101.6,93.33,2026-09-03 12:27:39
57247XA247,7 HORSE FUELS,"Sy.No: 336B/1B, Amathur Village, Virudhunagar Taluk & District",Amathur,,,,,9.5702,77.8761,YES,109.24,100.78,2026-09-03 12:10:47
56371XA371,7 Hills Filling Station,"Survey No.91 & 92, Devuniyerravally Village, Chevella Mandal, Ranga Reddy District, Telangana.",Devuniyerravalli,,,,,14.886709,79.015712,YES,117.17,104.57,2026-09-03 12:12:57
51905NA905,A - 1 Filling Station,"Khasra No. 1203/27, Village – Nyama, Tehsil – Sujangarh, District – Churu, State – Rajasthan",Churu,,,,,27.834099,74.794962,NO,114.44,99.17,2026-09-03 12:23:48
57871XA871,A A Energy,"SF No. 707/5, Pallapalayam Village Perundurai Taluka   Erode  Erode,638116",Erode,,,,638116,11.4009977,77.6195364,YES,108.58,100.11,2026-09-03 12:11:21
56318XA318,A A J Agencies,"Survey No: 299/5, Memangalam Village, Aranthangi Taluka, Pudhukotai District, Tamil Nadu",Memangalam,,,,,10.148691,79.076348,NO,109.17,100.69,2026-09-03 12:11:03
50909NA909,A B Filling Stattion,"Khasra No. 1187, 1188, 1191, Village - Mewali Kalan, Tehsil - Fatehabad, District - Agra, Uttar Pradesh",Mewali Kalan,,,,,27.07573,78.2018,YES,94.71,87.53,2026-09-03 12:23:07
48101TA101,A D Birade Petroleum,"Survey No. 826, Village – Vadodara Kasba, Taluka – Vadodara City (East), District – Vadodara, State – Gujarat",Vadodara Kasba-3,,,,,22.305715,73.219425,YES,101.7,97.51,2026-09-03 12:18:18
60859RA859,A G Filling Station,"Dag No. 290, Patta No. 56 Vill. Hukuta, Taluka. Tipling Kamalabari Road  Dibrugarh  Dibrugarh,786602",Dibrugarh,,,,786602,27.355253,95.334792,YES,106.32,97.46,2026-09-03 12:23:41
60182RA182,A G Filling Station,"Dag No : 290, Patta No: 56",Assam,,,,,27.355253,95.334792,NO,98.31,88.62,2026-09-03 12:23:41
57110XA110,A H M Fuels,"Survey No.35/2, Ankanahalli Village, Holenarsipura Taluka, Hassan District, Karnataka",Hassan,,,,,12.750214,76.271043,YES,111.37,98.79,2026-09-03 12:11:49
52208NA208,A J D Filling Station ( Reconstitution Shree Balaji Automobile 51192NA192 ),"Khasra No. 657, Village - Sonwal, Tehsil - Padrauna, District - Kushinagar, Uttar Pradesh",Sonwal,,,,,26.95714,84.01528,YES,102.42,95.56,2026-09-03 12:23:12
60440RA440,A J Filling Station,"PP no:14, Dag No: 99",Lahdoigarh,,,,,26.773919,94.567491,NO,106.78,98.15,2026-09-03 12:22:58
51949NA949,A K Filling Station,"khasra no.728, Village.Basantpur,Tehsil. Sidhauli,Sitapur",Sitapur,,,,,27.333681,80.82705,YES,102.45,95.6,2026-09-03 12:23:30
58075XA075,A K Fuels,"15/3, Block No. 14 Village. Kallelibhagam   Kollam  Kollam,690523",Kollam,,,,690523,9.067339,76.545745,YES,114.91,103.45,2026-09-03 12:10:42
55519XA519,A K KHAN FUEL STATION,"sites No.9 & 10, First Stage, Devanur Layout, Rajiv Nagar, N R Mohalla, Mysore, Karnataka",Rajiv Nagar,,,,,12.329255,76.686542,YES,110.76,98.41,2026-09-03 12:11:31
47445TA445,A K PETROLEUM,"Survey No. 391/5, Village – Thangadh, Taluka – Thangadh, District – Surendranagar, State – Gujarat",SURENDRANAGAR,,,,,22.579462,71.184136,YES,102.41,98.24,2026-09-03 12:18:38
56930XA930,A N OIL SERVICES,"Sy No.831/2 in ward 3, Block  20 in Sellankuppam & Survey No.76/1A in Ward No.1,Block2 in Cuddalore Port Village, Cuddalore District, TN",Cuddalore Town,,,,,11.723272,79.768636,YES,110.0,101.55,2026-09-03 12:11:28
47684TA684,A One Petroleum,"Survey No.179/2/2, Village – Dhavli, Taluka – Barwani, District – Barwani, State – Madhya Pradesh",Dhavli,,,,,21.39061,75.40161,YES,116.34,101.15,2026-09-03 12:17:21
57263XA263,A P Fuel Station,"Sy No.3/3, Kelluru Village, Kasaba Hobli,Arkalgud Taluk,Hassan Dist,Karnataka",Kelluru,,,,,12.76625,76.071491,YES,111.29,98.71,2026-09-03 12:11:49
57865XA865,A P Fuels,"Sy No. 53/4, 53/30, Block No. 4 Puthur  Village, Thamarassery Taluka   Kozhikode  Kozhikode,673582",Kozhikode,,,,673582,11.375403,75.957275,YES,114.24,102.85,2026-09-03 12:11:20
47290TA290,A P Petroleum,"Plot No.2, Gut No. 12/3, Vill - Jaswantpura, Tal - Aurangabad City, Dist. – Aurangabad, State – Maharashtra",Jaswantpura,,,,,19.888078,75.353387,NO,113.1,99.41,2026-09-03 12:16:15
55481XA481,A P R Agencies,"Sy.No.123/18 & 123/19, Vanellur Village, Satyaveedu Mandal, Chittoor District",Vanellur,,,,,13.596931,79.951764,NO,117.5,104.86,2026-09-03 12:12:21
56264XA264,A P Roudakundi Petroleum,"Survey No: 3/B, Juratagi Village, Gangavati Taluka, Koppal District,  Karnataka",Juratagi,,,,,15.5945,76.65474,YES,112.11,99.67,2026-09-03 12:13:20
55152XA152,A R Enterprise,"Survey No.169/1, Village P. Gannavaram, Taluk P. Gannavaram, District East Godavari",P.Ganavaram,,,,,16.5918174,81.8958456,NO,117.78,105.2,2026-09-03 12:14:13
48270TA270,A S Filling Station,"Survey No. 28/2, Village. Madhoupur Taluka. Pohri   Shivpuri  Shivpuri,473775",Shivpuri,,,,473775,25.536673,77.372238,YES,116.4,101.05,2026-09-03 12:21:38
57929XA929,A S N Fuel Station,"Sy No. 52/6, Anchemuddanahalli Village Krishnarajapet Taluk   Mandya  Mandya,571426",Mandya,,,,571426,12.5827789,76.5654,YES,110.87,98.5,2026-09-03 12:11:37
55558XA558,A Sathireddy Filling Station,"Survey No: 524/^G,524, Mamillaguda:Village, Nalgonda Mandal & District, TS.",Mamillaguda,,,,,17.035108,79.239626,NO,107.54,95.52,2026-09-03 12:14:26
48091TA091,A U K Hotels Private Limited,"Plot No. P-23, Butiboti Industrial Area Village. Rengapar, Taluka. Nagpur(Rural)   Nagpur  Nagpur,441122",Nagpur,,,,441122,20.928768,79.000635,YES,111.99,98.36,2026-09-03 12:17:06
45655TA655,A V Filling Centre,"Survey No. 4, PH No. 54, Village Bambori, Taluka & Dist. Sheopur",Bambori,,,,,25.49,76.66,NO,84.93,73.69,2026-09-03 12:21:36
