RO ID,Outlet Name,Display Name,Address Line 1,Address Line 2,City / Town,District,State / UT,State ISO,Pincode,Full Formatted Address,Phone / Mobile,Email Address,Latitude,Longitude,Fuels Available,Amenities,Extracted At
0000191984,KRISHNA FUEL SERVICE STATION BHARAT PETROLEUM DEALERS,KRISHNA FUEL SERVICE STATION BHARAT PETROLEUM DEALERS,DURGAULI,,KAIMUR,KAIMUR,Bihar,IN-13,821106,"DURGAULI, , KAIMUR, KAIMUR, 821106, India",,krishna191984@bpclretail.in,25.057612,83.352327,"DIESEL, PETROL","Automation, Pure_Sure, Air_Filling, TWO_FOUR_SEVEN",2026-09-02 16:15:18
0000124608,AUTO SERVICE STATION BHARAT PETROLEUM DEALERS,AUTO SERVICE STATION BHARAT PETROLEUM DEALERS,SECTOR 4,CHANDIGARH,CHANDIGARH,CHANDIGARH,Chandigarh,IN-42,160001,"SECTOR 4, CHANDIGARH, CHANDIGARH, CHANDIGARH, 160001, India",9814740064,autoservice124608@bpclretail.in,30.753285,76.797736,"DIESEL, PETROL, SPEED","Automation, Parking, Air_Filling",2026-09-02 16:15:14
0000124607,BANVEET SERVICE STATION BHARAT PETROLEUM DEALERS,BANVEET SERVICE STATION BHARAT PETROLEUM DEALERS,MANIMAJRA,NEAR DHILLON COMPLEX,CHANDIGARH,CHANDIGARH,Chandigarh,IN-42,160101,"MANIMAJRA, NEAR DHILLON COMPLEX, CHANDIGARH, CHANDIGARH, 160101, India",9872494133,banveet124607@bpclretail.in,30.712801,76.846422,"DIESEL, PETROL, SPEED","Automation, Air_Filling",2026-09-02 16:15:14
0000124609,BHULLAR AUTOMOBILE BHARAT PETROLEUM DEALERS,BHULLAR AUTOMOBILE BHARAT PETROLEUM DEALERS,SECTOR 41-C,NEAR BEANT SINGH MEMORIAL,CHANDIGARH,CHANDIGARH,Chandigarh,IN-42,160036,"SECTOR 41-C, NEAR BEANT SINGH MEMORIAL, CHANDIGARH, CHANDIGARH, 160036, India",9855015436,bhullar124609@bpclretail.in,30.729057,76.733405,"DIESEL, PETROL, SPEED","Automation, Air_Filling",2026-09-02 16:15:14
0000124616,BP-21 CHANDIGARH BHARAT PETROLEUM CORPORATION L,BP-21 CHANDIGARH BHARAT PETROLEUM CORPORATION L,SECTOR 21-C,DAKSHIN MARG,CHANDIGARH,CHANDIGARH,Chandigarh,IN-42,160021,"SECTOR 21-C, DAKSHIN MARG, CHANDIGARH, CHANDIGARH, 160021, India",8826724068,bp124616@bpclretail.in,30.72344687,76.77145243,"DIESEL, PETROL, SPEED","In_Out, Automation, Air_Filling",2026-09-02 16:15:14
0000124611,BRAHAM SARUP & SONS BHARAT PETROLEUM DEALERS,BRAHAM SARUP & SONS BHARAT PETROLEUM DEALERS,SECTOR 28,MADHYA MARG,CHANDIGARH,CHANDIGARH,Chandigarh,IN-42,160019,"SECTOR 28, MADHYA MARG, CHANDIGARH, CHANDIGARH, 160019, India",9858800001,braham124611@bpclretail.in,30.720188,76.809612,"DIESEL, PETROL","Automation, Pure_Sure, Air_Filling, TWO_FOUR_SEVEN",2026-09-02 16:15:14
0000124614,CITCO PETROL STATION BHARAT PETROLEUM DEALERS,CITCO PETROL STATION BHARAT PETROLEUM DEALERS,SECTOR 9,MADHYA MARG,CHANDIGARH,CHANDIGARH,Chandigarh,IN-42,160009,"SECTOR 9, MADHYA MARG, CHANDIGARH, CHANDIGARH, 160009, India",9463188469,citco124614@bpclretail.in,30.743101,76.789228,"DIESEL, PETROL, SPEED","Automation, Pure_Sure, Air_Filling, TWO_FOUR_SEVEN",2026-09-02 16:15:14
0000124612,EMM PEE MOTORS BHARAT PETROLEUM DEALERS,EMM PEE MOTORS BHARAT PETROLEUM DEALERS,SECTOR 22,DAKSHIN MARG,CHANDIGARH,CHANDIGARH,Chandigarh,IN-42,160022,"SECTOR 22, DAKSHIN MARG, CHANDIGARH, CHANDIGARH, 160022, India",9815951442,emmpee124612@bpclretail.in,30.7292,76.7666,"DIESEL, PETROL, SPEED","Automation, Pure_Sure, Air_Filling, TWO_FOUR_SEVEN",2026-09-02 16:15:14
0000124610,KAUSHAL SERVICE STATION BHARAT PETROLEUM DEALERS,KAUSHAL SERVICE STATION BHARAT PETROLEUM DEALERS,INDUSTRIAL AREA,PHASE 2,CHANDIGARH,CHANDIGARH,Chandigarh,IN-42,160002,"INDUSTRIAL AREA, PHASE 2, CHANDIGARH, CHANDIGARH, 160002, India",9417494885,kaushal124610@bpclretail.in,30.696258,76.787506,"DIESEL, PETROL, SPEED","Automation, Air_Filling",2026-09-02 16:15:14
0000124613,NATIONAL SERVICE CENTRE BHARAT PETROLEUM DEALERS,NATIONAL SERVICE CENTRE BHARAT PETROLEUM DEALERS,SECTOR 17-E,BEHIND NEELAM THEATRE,CHANDIGARH,CHANDIGARH,Chandigarh,IN-42,160017,"SECTOR 17-E, BEHIND NEELAM THEATRE, CHANDIGARH, CHANDIGARH, 160017, India",9814122680,national124613@bpclretail.in,30.739268,76.7801,"DIESEL, PETROL, SPEED","Automation, Pure_Sure, Air_Filling, Parking, TWO_FOUR_SEVEN",2026-09-02 16:15:14
