outlet_id,category,outlet_name,dealer_name,outlet_type,state,city,locality,street_address,pincode,country,latitude,longitude,telephone,email,contact_person,opening_hours,payment_modes,amenities,rating_value,rating_count,page_url,map_url
237881,Retail_Fuel,IndianOil,MS Serthi Tashi Palzor Memori,GasStation,Ladakh,Leh,Kharoo,"Ground Floor, Manali Road",194101,India,33.946094000,77.727188000,+917889978977,sonamangmolgs@gmail.com,Laskit Tsering,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Free Air Facility, Toilet",4.2,185,https://locator.iocl.com/indianoil-ms-serthi-tashi-palzor-memori-petrol-pump-kharoo-leh-237881/Home,https://locator.iocl.com/indianoil-ms-serthi-tashi-palzor-memori-petrol-pump-kharoo-leh-237881/Map
237882,Retail_Fuel,IndianOil,Chhepal Barcha Filling Station,GasStation,Ladakh,Leh,Nimmu,"Ground Floor, Bazgo Road",194101,India,34.1996344,77.3281011,+916005270469,jigmetrafstan007@gmail.com,Manager,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Free Air Facility, Toilet",,,https://locator.iocl.com/indianoil-chhepal-barcha-filling-station-petrol-pump-nimmu-leh-237882/Home,https://locator.iocl.com/indianoil-chhepal-barcha-filling-station-petrol-pump-nimmu-leh-237882/Map
237979,Retail_Fuel,IndianOil,Nubra Valley Filling Station,GasStation,Ladakh,Leh,Khalsar,Ground Floor,194101,India,34.527667,77.686452,+919469332061,khasketdolma99@gmail.com,Sonam Lundup,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Free Air Facility, Toilet",4.5,284,https://locator.iocl.com/indianoil-nubra-valley-filling-station-petrol-pump-khalsar-leh-237979/Home,https://locator.iocl.com/indianoil-nubra-valley-filling-station-petrol-pump-khalsar-leh-237979/Map
237928,Retail_Fuel,IndianOil,MS Lotus Zangpo Memorial F S,GasStation,Ladakh,Leh,Airport Road,Ground Floor,194101,India,34.13499,77.52938,+919797619099,phuntsogtoldan@gmail.com,Dolkar Tsering,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Free Air Facility, Toilet",4.5,35,https://locator.iocl.com/indianoil-ms-lotus-zangpo-memorial-f-s-petrol-pump-airport-road-leh-237928/Home,https://locator.iocl.com/indianoil-ms-lotus-zangpo-memorial-f-s-petrol-pump-airport-road-leh-237928/Map
238105,Retail_Fuel,IndianOil,Titichumik Filling Station,GasStation,Ladakh,Leh,Baroo,"Ground Floor, Kargil Zanskar Road",194105,India,34.524216,76.134268,+917051444476,fida02800@gmail.com,Fida Ali,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Free Air Facility, Toilet",4,35,https://locator.iocl.com/indianoil-titichumik-filling-station-petrol-pump-baroo-leh-238105/Home,https://locator.iocl.com/indianoil-titichumik-filling-station-petrol-pump-baroo-leh-238105/Map
239060,Retail_Fuel,IndianOil,Shree Sai Petroleum,GasStation,Dadra And Nagar Haveli,Naroli,Naroli,"Plot No 5, Silvassa Naroli Road, Athal",396235,India,20.267301,72.964301,+917600010713,shreesaipetroleum2011@gmail.com,Shri Jitendrasinh Chauhan Jitendrasinh,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Free Air Facility, Toilet",3.7,117,https://locator.iocl.com/indianoil-shree-sai-petroleum-petrol-pump-naroli-naroli-239060/Home,https://locator.iocl.com/indianoil-shree-sai-petroleum-petrol-pump-naroli-naroli-239060/Map
239248,Retail_Fuel,IndianOil,Kamala Trading,GasStation,Andaman And Nicobar Islands,Port Blair,Beodnabad,"S No 45/1, Bimblitan",744105,India,11.604053000,92.694109000,+919933225895,apurba21041980@gmail.com,Biswas Apurba -Biswas Laxmi,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Free Air Facility, Toilet",4.2,84,https://locator.iocl.com/indianoil-kamala-trading-petrol-pump-beodnabad-port-blair-239248/Home,https://locator.iocl.com/indianoil-kamala-trading-petrol-pump-beodnabad-port-blair-239248/Map
238524,Retail_Fuel,IndianOil,Kargil Filling Station,GasStation,Ladakh,Kargil,Akchamal,"Indian Oil Petrol Pump, Leh Road",194103,India,34.541336000,76.151035000,+919469292989,kfskargil@gmail.com,Ul-Hassan Kachoo Manzoor,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Free Air Facility, Toilet",4.1,318,https://locator.iocl.com/indianoil-kargil-filling-station-petrol-pump-akchamal-kargil-238524/Home,https://locator.iocl.com/indianoil-kargil-filling-station-petrol-pump-akchamal-kargil-238524/Map
239208,Retail_Fuel,IndianOil,Haveli Petroleum,GasStation,Dadra And Nagar Haveli,Naroli,Bhilad,Survey No 66/1/2,396235,India,20.281301,72.930001,+919824141500,jitenvapi@gmail.com,Geetaben Chouhan Geetaben,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Free Air Facility, Toilet",4,202,https://locator.iocl.com/indianoil-haveli-petroleum-petrol-pump-bhilad-naroli-239208/Home,https://locator.iocl.com/indianoil-haveli-petroleum-petrol-pump-bhilad-naroli-239208/Map
239160,Retail_Fuel,IndianOil,Manoj Marketings,GasStation,Andaman And Nicobar Islands,Port Blair,Ograbanj,"Plot No 52/4, Main Road, Lamba Line",744103,India,11.645832,92.73109,+919434282300,manojmarketingro@gmail.com,Smt. Anita Puria Anita -Smt. Anita Puria Anita,Monday: 06:00 AM-10:00 PM; Tuesday: 06:00 AM-10:00 PM; Wednesday: 06:00 AM-10:00 PM; Thursday: 06:00 AM-10:00 PM; Friday: 06:00 AM-10:00 PM; Saturday: 06:00 AM-10:00 PM; Sunday: 06:00 AM-10:00 PM,"Cash, Credit Card, Debit Card, Online Payment","Kerbside Parking; Clean Drinking Water, Free Air Facility, Toilet",4,163,https://locator.iocl.com/indianoil-manoj-marketings-petrol-pump-ograbanj-port-blair-239160/Home,https://locator.iocl.com/indianoil-manoj-marketings-petrol-pump-ograbanj-port-blair-239160/Map
